ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 4%,Total,Date,Time,Payment,cogs,gross margin %,gross income,Rating
919,Branch 2,Delhi,Non-Subscriber,Women,Women Apparel,41.88,2,3.35,91.3,12-10-21,11:26,Prepaid,83.76,5,4.19,8.6
920,Branch 4,Hyderabad,Subscriber,Men,Watches,48.33,2,3.87,105.36,13-10-21,12:36,COD,96.66,5,4.83,6.2
921,Branch 3,Bangalore,Subscriber,Unisex,Sunglasses,37.12,8,11.88,323.66,14-10-21,15:06,Prepaid,296.94,5,14.85,5
922,Branch 2,Bangalore,Non-Subscriber,Men,Men Footwear,29.19,5,5.84,159.1,15-10-21,10:58,COD,145.97,5,7.3,6.9
923,Branch 3,Chennai,Subscriber,Men,Men Footwear,32.1,1,1.28,34.99,16-10-21,12:10,COD,32.1,5,1.61,5.1
924,Branch 3,Pune,Subscriber,Women,Women Footwear,30.13,6,7.23,197.03,17-10-21,10:31,COD,180.76,5,9.04,6.5
925,Branch 3,Kolkata,Subscriber,Unisex,Bags,29.11,5,5.82,158.67,18-10-21,13:49,COD,145.57,5,7.28,6.4
926,Branch 2,Gurgaon,Non-Subscriber,Men,Men Footwear,37.12,3,4.45,121.37,19-10-21,11:10,COD,111.35,5,5.57,8.9
927,Branch 2,Lucknow,Subscriber,Women,Women Footwear,28.03,1,1.12,30.56,20-10-21,17:38,COD,28.03,5,1.4,5.1
928,Branch 1,Delhi,Subscriber,Women,Watches,21.87,8,7,190.68,21-10-21,17:54,COD,174.93,5,8.75,6.7
929,Branch 4,Kanpur,Subscriber,Men,Watches,30.06,8,9.62,262.12,22-10-21,20:51,COD,240.48,5,12.02,7.5
930,Branch 2,Amritsar,Non-Subscriber,Unisex,Sports Equipment,27.5,1,1.1,29.98,23-10-21,19:26,COD,27.5,5,1.38,7.1
931,Branch 2,Chennai,Non-Subscriber,Women,Jewellery,38.97,5,7.79,212.39,24-10-21,13:33,Prepaid,194.85,5,9.74,7
932,Branch 3,Bangalore,Subscriber,Unisex,Sunglasses,35.34,1,1.41,38.52,25-10-21,14:05,Prepaid,35.34,5,1.77,9.4
933,Branch 1,Bangalore,Non-Subscriber,Men,Men Footwear,31.7,9,11.41,310.98,26-10-21,11:40,Prepaid,285.3,5,14.27,5
934,Branch 3,Bangalore,Non-Subscriber,Men,Sports Equipment,24.12,6,5.79,157.74,27-10-21,12:27,COD,144.72,5,7.24,7.5
935,Branch 2,Navi Mumbai,Non-Subscriber,Men,Men Footwear,33.66,5,6.73,183.45,28-10-21,20:24,Prepaid,168.3,5,8.42,9.7
936,Branch 3,Kolkata,Subscriber,Unisex,Watches,25.9,2,2.07,56.45,29-10-21,20:59,COD,51.79,5,2.59,5
937,Branch 3,Delhi,Non-Subscriber,Men,Men Footwear,58.76,6,14.1,384.28,30-10-21,19:48,COD,352.55,5,17.63,7.4
938,Branch 1,Delhi,Non-Subscriber,Women,Jewellery,63.86,4,10.22,278.45,31-10-21,10:18,Prepaid,255.46,5,12.77,7.3
939,Branch 4,Gurgaon,Subscriber,Men,Watches,27.21,2,2.18,59.31,01-11-21,16:27,Prepaid,54.41,5,2.72,4.1
940,Branch 3,Lucknow,Non-Subscriber,Men,Men Footwear,26.67,5,5.33,145.36,02-11-21,17:04,COD,133.36,5,6.67,5.8
941,Branch 1,Delhi,Non-Subscriber,Men,Men Footwear,24.52,3,2.94,80.18,03-11-21,18:14,Prepaid,73.56,5,3.68,6.8
942,Branch 3,Bangalore,Subscriber,Men,Men Footwear,36.28,8,11.61,316.4,04-11-21,10:43,COD,290.27,5,14.51,6.5
943,Branch 1,Chennai,Non-Subscriber,Men,Men Footwear,35.03,9,12.61,343.67,05-11-21,19:30,COD,315.3,5,15.76,5.6
944,Branch 1,Chennai,Subscriber,Women,Watches,21.87,4,3.5,95.34,06-11-21,14:53,COD,87.47,5,4.37,5.2
945,Branch 1,Bangalore,Subscriber,Women,Watches,29.78,6,7.15,194.79,07-11-21,20:14,COD,178.7,5,8.94,4.1
946,Branch 1,Jaipur,Non-Subscriber,Women,Women Apparel,30.17,6,7.24,197.31,08-11-21,11:51,Prepaid,181.02,5,9.05,7.2
947,Branch 3,Kolkata,Subscriber,Men,Men Footwear,34.7,1,1.39,37.82,09-11-21,14:13,COD,34.7,5,1.73,5.2
948,Branch 4,Gurgaon,Subscriber,Men,Watches,32.75,1,1.31,35.7,10-11-21,20:13,COD,32.75,5,1.64,4.6
949,Branch 3,Delhi,Subscriber,Unisex,Sunglasses,21.62,4,3.46,94.28,11-11-21,18:44,COD,86.49,5,4.32,7.8
950,Branch 2,Lucknow,Subscriber,Women,Women Footwear,24.12,7,6.75,184.04,12-11-21,14:26,COD,168.84,5,8.44,8.8
951,Branch 2,Delhi,Subscriber,Men,Men Footwear,33.21,2,2.66,72.4,13-11-21,12:40,COD,66.42,5,3.32,9.2
952,Branch 2,Ludhiana,Subscriber,Unisex,Sunglasses,35.34,2,2.83,77.05,14-11-21,18:43,Prepaid,70.69,5,3.53,4.6
953,Branch 2,Coimbatore,Subscriber,Women,Watches,37.11,3,4.45,121.35,15-11-21,13:22,COD,111.33,5,5.57,8.6
954,Branch 4,Coimbatore,Subscriber,Men,Watches,32.75,3,3.93,107.1,16-11-21,13:58,Prepaid,98.25,5,4.91,7.5
955,Branch 2,Chennai,Subscriber,Men,Men Footwear,31.7,5,6.34,172.77,17-11-21,11:45,COD,158.51,5,7.93,5.6
956,Branch 1,Chennai,Non-Subscriber,Men,Men Footwear,29.39,6,7.05,192.2,18-11-21,11:51,COD,176.33,5,8.82,6.7
957,Branch 3,Jaipur,Subscriber,Unisex,Furniture,39.46,8,12.63,344.08,19-11-21,17:16,Prepaid,315.67,5,15.78,5.3
958,Branch 2,Howrah,Non-Subscriber,Men,Men Footwear,29.39,5,5.88,160.16,20-11-21,15:55,COD,146.94,5,7.35,7
959,Branch 4,Delhi,Subscriber,Men,Watches,55.13,9,19.85,540.82,21-11-21,12:07,COD,496.16,5,24.81,7.7
960,Branch 1,Delhi,Subscriber,Men,Men Footwear,30.55,8,9.78,266.38,22-11-21,15:07,COD,244.39,5,12.22,8.3
961,Branch 3,Delhi,Subscriber,Men,Men Footwear,38.22,1,1.53,41.66,23-11-21,15:29,Prepaid,38.22,5,1.91,9.7
962,Branch 1,Kanpur,Subscriber,Men,Men Footwear,24.72,1,0.99,26.95,24-11-21,18:45,COD,24.72,5,1.24,9.7
963,Branch 1,Faridabad,Non-Subscriber,Men,Men Footwear,35.03,1,1.4,38.19,25-11-21,15:23,COD,35.03,5,1.75,7.3
964,Branch 3,Chennai,Subscriber,Men,Men Footwear,29.19,2,2.34,63.64,26-11-21,20:37,COD,58.39,5,2.92,6.6
965,Branch 4,Erode,Subscriber,Men,Watches,55.13,1,2.21,60.09,27-11-21,14:41,Prepaid,55.13,5,2.76,6.3
966,Branch 2,Chennai,Subscriber,Women,Watches,29.78,1,1.19,32.46,28-11-21,18:18,COD,29.78,5,1.49,5.7
967,Branch 1,Chennai,Non-Subscriber,Women,Women Apparel,38.29,8,12.25,333.9,29-11-21,15:27,COD,306.33,5,15.32,7.1
968,Branch 1,Jodhpur,Subscriber,Unisex,Watches,25.94,2,2.08,56.55,30-11-21,12:55,COD,51.88,5,2.59,9.2
969,Branch 1,Kolkata,Subscriber,Women,Watches,49.35,2,3.95,107.58,01-12-21,18:02,COD,98.7,5,4.94,9.4
970,Branch 2,Delhi,Subscriber,Women,Jewellery,63.86,4,10.22,278.45,02-12-21,19:44,Prepaid,255.46,5,12.77,8.9
971,Branch 2,Delhi,Subscriber,Women,Women Footwear,30.13,9,10.85,295.55,03-12-21,11:36,COD,271.15,5,13.56,8.9
972,Branch 2,Ghaziabad,Subscriber,Unisex,Bags,18.99,6,4.56,124.19,04-12-21,13:51,COD,113.94,5,5.7,6.6
973,Branch 4,Jammu,Subscriber,Men,Watches,51.68,6,12.4,337.98,05-12-21,15:17,COD,310.07,5,15.5,5.4
974,Branch 4,Delhi,Subscriber,Men,Watches,28.03,2,2.24,61.11,06-12-21,15:29,COD,56.07,5,2.8,5.3
975,Branch 3,Bangalore,Non-Subscriber,Men,Men Footwear,21.87,1,0.87,23.83,07-12-21,17:59,Prepaid,21.87,5,1.09,8.1
976,Branch 2,Chennai,Subscriber,Women,Women Apparel,63.86,1,2.55,69.61,08-12-21,11:55,COD,63.86,5,3.19,6.9
977,Branch 1,Bangalore,Non-Subscriber,Women,Women Apparel,34.7,3,4.16,113.46,09-12-21,10:39,COD,104.09,5,5.2,8.4
978,Branch 2,Bangalore,Subscriber,Women,Bags,35.34,5,7.07,192.62,10-12-21,15:10,COD,176.72,5,8.84,4.8
979,Branch 2,Jaipur,Non-Subscriber,Women,Women Apparel,32.96,1,1.32,35.93,11-12-21,18:10,Prepaid,32.96,5,1.65,5
980,Branch 2,Kolkata,Non-Subscriber,Men,Men Footwear,26.73,1,1.07,29.13,12-12-21,20:43,Prepaid,26.73,5,1.34,6.4
981,Branch 3,Delhi,Subscriber,Women,Bags,32.31,3,3.88,105.66,13-12-21,12:46,Prepaid,96.94,5,4.85,9.7
982,Branch 1,Gurgaon,Non-Subscriber,Men,Men Footwear,23.36,3,2.8,76.4,14-12-21,17:44,Prepaid,70.09,5,3.5,8.3
983,Branch 1,Delhi,Subscriber,Men,Men Footwear,41.18,8,13.18,359.06,15-12-21,14:19,COD,329.42,5,16.47,7.3
984,Branch 3,Bhatinda,Subscriber,Women,Women Footwear,32.1,6,7.7,209.96,16-12-21,10:33,COD,192.62,5,9.63,6
985,Branch 4,Lucknow,Subscriber,Men,Watches,55.13,6,13.23,360.55,17-12-21,11:40,Prepaid,330.78,5,16.54,5.9
986,Branch 2,Bangalore,Non-Subscriber,Women,Women Apparel,24.12,4,3.86,105.16,18-12-21,19:30,Prepaid,96.48,5,4.82,8.4
987,Branch 2,Chennai,Non-Subscriber,Men,Men Footwear,32.31,1,1.29,35.22,19-12-21,14:42,COD,32.31,5,1.62,4.2
988,Branch 4,Bangalore,Subscriber,Men,Sunglasses,40.88,7,11.45,311.89,20-12-21,19:08,COD,286.14,5,14.31,6.1
989,Branch 3,Bangalore,Subscriber,Men,Men Footwear,32.75,9,11.79,321.29,21-12-21,19:12,COD,294.76,5,14.74,4.2
990,Branch 2,Jaipur,Subscriber,Women,Home,22.96,7,6.43,175.15,22-12-21,15:46,COD,160.69,5,8.03,8.3
991,Branch 1,Guwahati,Non-Subscriber,Women,Women Apparel,38.29,4,6.13,166.95,23-12-21,19:06,COD,153.16,5,7.66,4.4
992,Branch 2,Delhi,Non-Subscriber,Men,Men Footwear,24.92,9,8.97,244.5,24-12-21,18:10,COD,224.31,5,11.22,5.9
993,Branch 1,Kanpur,Non-Subscriber,Men,Men Footwear,33.66,1,1.35,36.69,25-12-21,20:46,Prepaid,33.66,5,1.68,8.7
994,Branch 2,Delhi,Non-Subscriber,Men,Men Footwear,30.68,9,11.05,301.02,26-12-21,18:35,COD,276.16,5,13.81,6.5
995,Branch 4,Hoshiarpur,Subscriber,Men,Watches,48.33,1,1.93,52.68,27-12-21,11:40,COD,48.33,5,2.42,5.8
996,Branch 3,Patiala,Non-Subscriber,Women,Women Apparel,63.86,1,2.55,69.61,28-12-21,13:46,COD,63.86,5,3.19,6.1
997,Branch 2,Bangalore,Subscriber,Unisex,Watches,29.78,9,10.72,292.18,29-12-21,17:16,COD,268.06,5,13.4,4.3
998,Branch 1,Chennai,Subscriber,Men,Men Footwear,24.92,1,1,27.17,30-12-21,13:22,COD,24.92,5,1.25,7.6
999,Branch 1,Chennai,Subscriber,Unisex,Sunglasses,22.95,1,0.92,25.01,31-12-21,15:33,COD,22.95,5,1.15,4
1000,Branch 1,Chennai,Subscriber,Men,Men Footwear,63.86,6,15.33,417.67,01-01-22,13:28,COD,383.19,5,19.16,6.5
1001,Branch 1,Jaipur,Non-Subscriber,Men,Men Footwear,36.8,6,8.83,240.64,02-01-22,11:03,COD,220.77,5,11.04,9
1002,Branch 4,Kolkata,Subscriber,Men,Watches,40.88,4,6.54,178.22,03-01-22,10:39,COD,163.51,5,8.18,9.5
1003,Branch 3,Ludhiana,Non-Subscriber,Men,Men Footwear,30.55,6,7.33,199.79,04-01-22,18:00,COD,183.29,5,9.16,7.3
1004,Branch 1,Delhi,Subscriber,Women,Women Apparel,30.17,7,8.45,230.19,05-01-22,15:30,Prepaid,211.19,5,10.56,8.3
1005,Branch 2,Delhi,Subscriber,Women,Watches,29.11,6,6.99,190.41,06-01-22,11:24,COD,174.69,5,8.73,5.2
1006,Branch 3,Delhi,Subscriber,Women,Jewellery,38.97,6,9.35,254.86,07-01-22,10:40,Prepaid,233.82,5,11.69,4
1007,Branch 1,Delhi,Non-Subscriber,Men,Men Footwear,32.31,5,6.46,176.1,08-01-22,12:20,COD,161.56,5,8.08,5.7
1008,Branch 2,Bangalore,Subscriber,Women,Home,29.84,9,10.74,292.72,09-01-22,11:15,COD,268.55,5,13.43,7.9
1009,Branch 3,Bangalore,Non-Subscriber,Men,Men Footwear,21.62,1,0.86,23.57,10-01-22,17:15,COD,21.62,5,1.08,7.1
1010,Branch 4,Hyderabad,Subscriber,Men,Watches,27.5,2,2.2,59.95,11-01-22,13:27,COD,55,5,2.75,5.8
1011,Branch 4,Coimbatore,Subscriber,Men,Watches,32.31,3,3.88,105.66,12-01-22,18:07,COD,96.94,5,4.85,4.4
1012,Branch 3,Jaipur,Subscriber,Unisex,Sunglasses,38.29,3,4.59,125.21,13-01-22,17:03,COD,114.87,5,5.74,6.7
1013,Branch 1,Howrah,Subscriber,Unisex,Sunglasses,22.95,4,3.67,100.04,14-01-22,10:25,COD,91.78,5,4.59,7
1014,Branch 2,Delhi,Subscriber,Women,Women Footwear,30.13,9,10.85,295.55,15-01-22,16:48,COD,271.15,5,13.56,8.1
1015,Branch 3,Ludhiana,Non-Subscriber,Women,Women Apparel,32.96,9,11.87,323.36,16-01-22,19:21,Prepaid,296.66,5,14.83,5.6
1016,Branch 1,Delhi,Subscriber,Men,Men Footwear,25.9,5,5.18,141.13,17-01-22,16:19,Prepaid,129.48,5,6.47,4.4
1017,Branch 2,Amritsar,Subscriber,Women,Bags,33.57,6,8.06,219.53,18-01-22,11:03,Prepaid,201.4,5,10.07,4.5
1018,Branch 3,Delhi,Subscriber,Men,Men Footwear,24.92,5,4.98,135.83,19-01-22,10:39,COD,124.62,5,6.23,6.8
1019,Branch 4,Hyderabad,Subscriber,Men,Watches,41.18,2,3.29,89.77,20-01-22,18:00,Prepaid,82.35,5,4.12,8.5
1020,Branch 2,Chennai,Subscriber,Men,Men Footwear,30.13,1,1.21,32.84,21-01-22,15:30,COD,30.13,5,1.51,4.3
1021,Branch 4,Bangalore,Subscriber,Men,Watches,35.03,4,5.61,152.74,22-01-22,11:24,COD,140.13,5,7.01,4.7
1022,Branch 1,Madurai,Subscriber,Women,Women Footwear,26.1,2,2.09,56.9,23-01-22,10:40,COD,52.2,5,2.61,5
1023,Branch 2,.,Subscriber,Women,Watches,33.83,1,1.35,36.88,24-01-22,12:20,Prepaid,33.83,5,1.69,4.3
1024,Branch 4,Siliguri,Subscriber,Men,Watches,24.52,4,3.92,106.91,25-01-22,11:15,COD,98.09,5,4.9,9.8
1025,Branch 1,Delhi,Non-Subscriber,Men,Men Footwear,33.66,2,2.69,73.38,26-01-22,17:36,Prepaid,67.32,5,3.37,5.9
1026,Branch 4,Lucknow,Subscriber,Men,Watches,38.45,7,10.76,293.35,27-01-22,19:20,Prepaid,269.12,5,13.46,8.4
1027,Branch 3,Delhi,Non-Subscriber,Women,Women Apparel,34.7,1,1.39,37.82,28-01-22,15:31,COD,34.7,5,1.73,6.6
1028,Branch 1,Ghaziabad,Subscriber,Women,Watches,37.11,1,1.48,40.45,29-01-22,12:17,COD,37.11,5,1.86,7.6
1029,Branch 2,Ghaziabad,Non-Subscriber,Men,Men Footwear,21.62,4,3.46,94.28,30-01-22,19:48,COD,86.49,5,4.32,9.5
1030,Branch 3,Hyderabad,Subscriber,Men,Men Footwear,29.19,8,9.34,254.57,31-01-22,15:36,COD,233.55,5,11.68,7.3
1031,Branch 1,Bangalore,Non-Subscriber,Men,Men Footwear,32.11,4,5.14,140.01,01-02-22,19:39,COD,128.45,5,6.42,4.7
1032,Branch 4,Bangalore,Subscriber,Men,Watches,55.13,8,17.64,480.73,02-02-22,12:43,COD,441.03,5,22.05,4.4
1033,Branch 4,Bangalore,Subscriber,Men,Watches,21.62,7,6.05,164.99,03-02-22,14:49,COD,151.37,5,7.57,5
1034,Branch 1,Secunderabad,Subscriber,Women,Women Apparel,29.34,1,1.17,31.98,04-02-22,10:12,COD,29.34,5,1.47,5
1035,Branch 4,Bhubaneswar,Subscriber,Men,Sunglasses,37.12,3,4.45,121.37,05-02-22,10:42,COD,111.35,5,5.57,7.4
1036,Branch 3,Noida,Subscriber,Women,Women Apparel,30.17,1,1.21,32.88,06-02-22,12:28,Prepaid,30.17,5,1.51,6.7
1037,Branch 1,Panchkula,Subscriber,Unisex,Sunglasses,38.29,4,6.13,166.95,07-02-22,19:15,COD,153.16,5,7.66,6.9
1038,Branch 4,Delhi,Subscriber,Men,Watches,29.39,8,9.4,256.26,08-02-22,17:17,COD,235.1,5,11.76,4.6
1039,Branch 3,Delhi,Subscriber,Unisex,Sunglasses,33.09,7,9.27,252.48,09-02-22,13:24,COD,231.63,5,11.58,7.5
1040,Branch 1,Noida,Subscriber,Men,Men Apparel,30.55,7,8.55,233.08,10-02-22,13:01,Prepaid,213.84,5,10.69,7.6
1041,Branch 2,Chennai,Non-Subscriber,Men,Men Footwear,29.11,1,1.16,31.73,11-02-22,18:45,Prepaid,29.11,5,1.46,7.8
1042,Branch 3,Bangalore,Subscriber,Men,Sports Equipment,24.12,1,0.96,26.29,12-02-22,10:11,COD,24.12,5,1.21,6.2
1043,Branch 1,Hyderabad,Subscriber,Women,Watches,26.1,5,5.22,142.25,13-02-22,13:03,COD,130.51,5,6.53,5.5
1044,Branch 2,Bangalore,Subscriber,Women,Jewellery,30.55,7,8.55,233.08,14-02-22,20:39,Prepaid,213.84,5,10.69,7.5
1045,Branch 3,Hosur,Non-Subscriber,Women,Women Apparel,24.68,1,0.99,26.9,15-02-22,19:47,COD,24.68,5,1.23,7.1
1046,Branch 1,Siliguri,Subscriber,Women,Bags,35.34,3,4.24,115.57,16-02-22,18:00,COD,106.03,5,5.3,9.4
1047,Branch 2,Ghaziabad,Subscriber,Unisex,Watches,25.94,8,8.3,226.21,17-02-22,17:24,COD,207.53,5,10.38,8.3
1048,Branch 3,Ghaziabad,Subscriber,Men,Men Footwear,32.11,8,10.28,280.03,18-02-22,15:47,Prepaid,256.9,5,12.85,4
1049,Branch 1,Ghaziabad,Subscriber,Unisex,Sunglasses,49.35,5,9.87,268.96,19-02-22,12:45,COD,246.75,5,12.34,8
1050,Branch 2,Bhilai,Subscriber,Women,Women Footwear,32.1,9,11.56,314.93,20-02-22,17:08,COD,288.93,5,14.45,7.8
1051,Branch 3,Ludhiana,Non-Subscriber,Men,Men Footwear,23.36,6,5.61,152.8,21-02-22,10:19,COD,140.18,5,7.01,9.4
1052,Branch 1,Bangalore,Subscriber,Men,Men Footwear,34.7,4,5.55,151.28,22-02-22,15:10,COD,138.79,5,6.94,8.4
1053,Branch 4,Chennai,Subscriber,Men,Watches,39.46,3,4.74,129.03,23-02-22,14:42,Prepaid,118.38,5,5.92,6.4
1054,Branch 3,Hubli,Subscriber,Unisex,Furniture,39.46,1,1.58,43.01,24-02-22,15:46,Prepaid,39.46,5,1.97,6
1055,Branch 1,Bangalore,Subscriber,Women,Watches,33.66,1,1.35,36.69,25-02-22,11:49,COD,33.66,5,1.68,6.4
1056,Branch 2,Jaipur,Subscriber,Women,Bags,24.3,7,6.8,185.37,26-02-22,19:01,COD,170.07,5,8.5,8.1
1057,Branch 4,Kolkata,Subscriber,Men,Watches,35.03,1,1.4,38.19,27-02-22,11:26,COD,35.03,5,1.75,5.7
1058,Branch 1,Kanpur,Subscriber,Women,Women Apparel,32.96,7,9.23,251.5,28-02-22,11:28,Prepaid,230.74,5,11.54,6.5
1059,Branch 2,Delhi,Subscriber,Women,Watches,33.83,9,12.18,331.9,01-03-22,15:55,Prepaid,304.5,5,15.22,5.3
1060,Branch 3,Delhi,Subscriber,Women,Women Apparel,26.73,5,5.35,145.66,02-03-22,20:36,COD,133.63,5,6.68,9.2
1061,Branch 1,Chandigarh,Non-Subscriber,Men,Men Footwear,27.21,2,2.18,59.31,03-03-22,17:47,Prepaid,54.41,5,2.72,10
1062,Branch 2,Noida,Subscriber,Women,Watches,30.17,5,6.03,164.42,04-03-22,10:55,COD,150.85,5,7.54,6.9
1063,Branch 3,Chennai,Non-Subscriber,Women,Women Apparel,29.39,8,9.4,256.26,05-03-22,13:40,COD,235.1,5,11.76,10
1064,Branch 1,Chennai,Subscriber,Men,Men Footwear,25.94,9,9.34,254.48,06-03-22,12:27,COD,233.47,5,11.67,8.5
1065,Branch 4,Bangalore,Subscriber,Men,Watches,38.45,3,4.61,125.72,07-03-22,14:35,Prepaid,115.34,5,5.77,7.5
1066,Branch 3,Bangalore,Subscriber,Men,Men Footwear,32.96,9,11.87,323.36,08-03-22,16:40,Prepaid,296.66,5,14.83,5.7
1067,Branch 1,Jaipur,Subscriber,Women,Sunglasses,30.48,1,1.22,33.22,09-03-22,15:43,COD,30.48,5,1.52,6.6
1068,Branch 2,Bhubaneswar,Subscriber,Men,Men Footwear,28.03,5,5.61,152.78,10-03-22,15:01,COD,140.17,5,7.01,9.8
1069,Branch 3,Jalandhar,Non-Subscriber,Women,Home,22.96,9,8.26,225.2,11-03-22,10:04,COD,206.6,5,10.33,6.3
1070,Branch 1,Delhi,Subscriber,Men,Men Footwear,30.95,1,1.24,33.73,12-03-22,18:50,COD,30.95,5,1.55,4.2
1071,Branch 4,Delhi,Subscriber,Men,Sunglasses,40.88,9,14.72,401,13-03-22,12:46,COD,367.89,5,18.39,9.5
1072,Branch 3,Panchkula,Subscriber,Women,Women Apparel,24.12,9,8.68,236.62,14-03-22,16:19,Prepaid,217.08,5,10.85,5.8
1073,Branch 1,Jalandhar,Non-Subscriber,Men,Men Footwear,25.94,2,2.08,56.55,15-03-22,18:17,COD,51.88,5,2.59,3.9
1074,Branch 2,Bangalore,Subscriber,Women,Women Apparel,49.35,5,9.87,268.96,16-03-22,18:21,COD,246.75,5,12.34,8.6
1075,Branch 3,Bangalore,Non-Subscriber,Men,Men Footwear,22.96,8,7.35,200.17,17-03-22,10:55,Prepaid,183.65,5,9.18,9.3
1076,Branch 1,Bangalore,Subscriber,Men,Men Footwear,36.8,9,13.25,360.96,18-03-22,17:04,COD,331.16,5,16.56,5.3
1077,Branch 2,Bangalore,Non-Subscriber,Women,Women Apparel,38.45,8,12.3,335.25,19-03-22,14:20,Prepaid,307.57,5,15.38,8.5
1078,Branch 3,Kashipur,Subscriber,Men,Men Footwear,32.44,8,10.38,282.88,20-03-22,15:48,Prepaid,259.52,5,12.98,5.6
1079,Branch 1,Kolkata,Subscriber,Women,Women Footwear,55.13,9,19.85,540.82,21-03-22,16:24,COD,496.16,5,24.81,6.5
1080,Branch 4,Delhi,Subscriber,Men,Watches,38.45,4,6.15,167.63,22-03-22,18:56,Prepaid,153.79,5,7.69,5.9
1081,Branch 3,Ghaziabad,Non-Subscriber,Women,Women Apparel,29.34,5,5.87,159.92,23-03-22,14:42,COD,146.72,5,7.34,5.4
1082,Branch 1,Chandigarh,Subscriber,Unisex,Sunglasses,22.95,2,1.84,50.02,24-03-22,19:56,COD,45.89,5,2.29,6.3
1083,Branch 2,Lucknow,Subscriber,Unisex,Furniture,38.22,7,10.7,291.65,25-03-22,18:37,Prepaid,267.57,5,13.38,6.5
1084,Branch 3,Delhi,Subscriber,Unisex,Bags,36.8,3,4.42,120.32,26-03-22,18:45,COD,110.39,5,5.52,8.2
1085,Branch 1,Chennai,Subscriber,Women,Sunglasses,38.29,4,6.13,166.95,27-03-22,10:17,COD,153.16,5,7.66,6.5
1086,Branch 2,Bangalore,Subscriber,Unisex,Watches,38.29,6,9.19,250.42,28-03-22,14:31,COD,229.74,5,11.49,3.9
1087,Branch 3,Coimbatore,Non-Subscriber,Men,Men Footwear,32.11,4,5.14,140.01,29-03-22,10:23,Prepaid,128.45,5,6.42,9.8
1088,Branch 1,Bangalore,Subscriber,Women,Home,33.83,6,8.12,221.27,30-03-22,20:35,COD,203,5,10.15,7.2
1089,Branch 2,Bhuj,Non-Subscriber,Women,Women Apparel,32.99,1,1.32,35.96,31-03-22,16:57,Prepaid,32.99,5,1.65,5.6
1090,Branch 4,Kolkata,Subscriber,Men,Watches,32.31,5,6.46,176.1,01-04-22,17:55,COD,161.56,5,8.08,6
1091,Branch 1,Ghaziabad,Non-Subscriber,Men,Men Footwear,36.8,3,4.42,120.32,02-04-22,10:25,COD,110.39,5,5.52,7
1092,Branch 2,Delhi,Subscriber,Women,Women Apparel,24.68,9,8.88,242.08,03-04-22,19:54,COD,222.1,5,11.1,8.1
1093,Branch 3,Delhi,Non-Subscriber,Men,Men Footwear,24.52,6,5.89,160.37,04-04-22,16:42,COD,147.13,5,7.36,5
1094,Branch 1,Ghaziabad,Subscriber,Unisex,Watches,29.78,8,9.53,259.72,05-04-22,12:09,COD,238.27,5,11.91,8.5
1095,Branch 2,Delhi,Subscriber,Unisex,Watches,38.29,1,1.53,41.74,06-04-22,20:05,COD,38.29,5,1.91,6.5
1096,Branch 3,Bangalore,Subscriber,Men,Men Footwear,40.88,1,1.64,44.56,07-04-22,20:38,Prepaid,40.88,5,2.04,7.1
1097,Branch 1,Hyderabad,Non-Subscriber,Men,Men Footwear,33.83,9,12.18,331.9,08-04-22,10:25,COD,304.5,5,15.22,5
1098,Branch 2,Hyderabad,Subscriber,Men,Men Footwear,30.95,5,6.19,168.65,09-04-22,13:11,COD,154.73,5,7.74,4
1099,Branch 3,Hyderabad,Non-Subscriber,Women,Women Apparel,30.06,2,2.4,65.53,10-04-22,10:16,Prepaid,60.12,5,3.01,9.2
1100,Branch 1,Gandhinagar,Subscriber,Men,Men Footwear,31.7,5,6.34,172.77,11-04-22,18:14,Prepaid,158.5,5,7.93,7.3
1101,Branch 2,Kolkata,Subscriber,Women,Women Footwear,26.1,1,1.04,28.45,12-04-22,19:20,COD,26.1,5,1.31,4
1102,Branch 3,Delhi,Subscriber,Men,Men Footwear,32.11,8,10.28,280.03,13-04-22,13:22,Prepaid,256.9,5,12.85,7.1
1103,Branch 1,Delhi,Subscriber,Women,Bags,24.3,8,7.77,211.86,14-04-22,11:27,COD,194.36,5,9.72,4.8
1104,Branch 2,Ghaziabad,Subscriber,Men,Men Footwear,37.12,5,7.42,202.29,15-04-22,16:44,COD,185.59,5,9.28,9.8
1105,Branch 3,Patiala,Non-Subscriber,Women,Women Apparel,18.99,6,4.56,124.19,16-04-22,18:19,Prepaid,113.94,5,5.7,7.9
1106,Branch 1,Delhi,Subscriber,Men,Men Footwear,32.11,9,11.56,315.03,17-04-22,14:50,COD,289.02,5,14.45,7.2
1107,Branch 2,Chennai,Non-Subscriber,Women,Women Apparel,41.88,5,8.38,228.25,18-04-22,20:54,Prepaid,209.41,5,10.47,7.8
1108,Branch 3,Hyderabad,Subscriber,Women,Watches,29.34,5,5.87,159.92,19-04-22,20:19,COD,146.72,5,7.34,7.3
1109,Branch 1,Bangalore,Non-Subscriber,Men,Men Footwear,33.21,8,10.63,289.6,20-04-22,10:43,COD,265.69,5,13.28,4.1
1110,Branch 2,Hyderabad,Subscriber,Men,Men Footwear,33.83,9,12.18,331.9,21-04-22,14:30,Prepaid,304.5,5,15.22,9.1
